1e2k	-3.138
1e2l	-3.520
1gx8	-4.287
1hdq	-3.581
1m7y	-3.561
1ppi	-4.402
1qin	-3.810
1yc4	-4.368
1zsf	-4.633
2avo	-5.784
2bfq	-4.698
2bok	-3.757
2qbs	-3.834
2v25	-2.307
2vwo	-4.763
2xxx	-3.444
3b26	-4.915
3ckz	-3.524
3d7z	-5.292
3d83	-5.092
3dx3	-3.141
3eax	-4.868
3ibi	-3.013
3nxq	-4.447
3s0b	-3.532
3tcg	-3.508
3vf7	-4.331
4aoi	-6.607
4cig	-5.297
4clj	-4.256
4f5y	-4.701
4fp1	-3.186
4jpx	-3.549
4jpy	-4.138
4mc1	-4.702
4mo4	-3.459
4q87	-2.884
4tmk	-6.103
4xaq	-3.319
4y79	-4.448
4zb8	-3.957
5c28	-2.914
5cqu	-4.767
5cxa	-5.142
5kqx	-4.963
5kr2	-5.011
5nkb	-6.344
5nkc	-5.312
5nkd	-5.604
5tya	-3.157
6czf	-3.832
6ezq	-3.963
6g98	-5.163
6p86	-5.382
6udv	-5.108
