1e2k	-2.752
1e2l	-4.536
1gx8	-4.028
1hdq	-3.249
1m7y	-2.817
1ppi	-3.574
1qin	-3.369
1yc4	-3.678
1zsf	0.048
2avo	-1.491
2bfq	-3.097
2bok	-3.607
2qbs	-3.355
2v25	-0.870
2vwo	-4.219
2xxx	-2.159
3b26	-4.126
3ckz	0.000
3d7z	-4.047
3d83	-4.421
3dx3	-1.286
3eax	-4.593
3ibi	-3.009
3nxq	-3.381
3s0b	-3.489
3tcg	-2.931
3vf7	0.000
4aoi	-5.343
4cig	-4.179
4clj	-4.918
4f5y	-4.155
4fp1	-2.161
4jpx	-3.478
4jpy	-3.289
4mc1	0.000
4mo4	0.000
4q87	-2.474
4tmk	-4.282
4xaq	-2.332
4y79	-3.695
4zb8	-3.191
5c28	-2.675
5cqu	-4.503
5cxa	-4.276
5kqx	-1.784
5kr2	-1.631
5nkb	-3.186
5nkc	-3.040
5nkd	-1.822
5tya	-2.745
6czf	-1.333
6ezq	-2.888
6g98	-3.824
6p86	-4.313
6udv	-4.623
